2024/11/14 09:45:41 GraphQL server created successfully
2024/11/14 09:45:41 GraphQL playground available at http://localhost:9000/
2024/11/14 09:45:42 method=GET path=/metrics status=200 latency=1.061ms client_ip=::1
2024/11/14 15:21:39 GraphQL server created successfully
2024/11/14 15:21:39 GraphQL playground available at http://localhost:9000/
2024/11/14 15:21:46 method=GET path=/metrics status=200 latency=2.883834ms client_ip=::1
2024/11/14 15:22:01 method=GET path=/metrics status=200 latency=1.533458ms client_ip=::1
2024/11/14 15:22:16 method=GET path=/metrics status=200 latency=2.843208ms client_ip=::1
2024/11/14 15:22:31 method=GET path=/metrics status=200 latency=1.859041ms client_ip=::1
2024/11/14 15:22:46 method=GET path=/metrics status=200 latency=2.112417ms client_ip=::1
2024/11/14 15:23:01 method=GET path=/metrics status=200 latency=1.705959ms client_ip=::1
2024/11/14 15:23:06 method=POST path=/send-email status=404 latency=42.541µs client_ip=::1
2024/11/14 15:23:16 method=GET path=/metrics status=200 latency=1.387666ms client_ip=::1
2024/11/14 15:23:16 method=POST path=/send-emai status=404 latency=6.667µs client_ip=::1
2024/11/14 15:23:19 method=POST path=/grap status=404 latency=3.417µs client_ip=::1
2024/11/14 15:23:19 method=POST path=/graph status=404 latency=24.209µs client_ip=::1
2024/11/14 15:23:20 method=POST path=/graphql status=404 latency=4.75µs client_ip=::1
2024/11/14 15:23:30 method=POST path=/graphql status=404 latency=24.916µs client_ip=::1
2024/11/14 15:23:31 method=GET path=/metrics status=200 latency=3.656875ms client_ip=::1
2024/11/14 15:23:44 method=POST path=/graphql status=404 latency=25.416µs client_ip=::1
2024/11/14 15:23:46 method=GET path=/metrics status=200 latency=1.215041ms client_ip=::1
2024/11/14 15:23:59 method=POST path=/ status=404 latency=32.25µs client_ip=::1
2024/11/14 15:24:01 method=GET path=/metrics status=200 latency=1.709334ms client_ip=::1
2024/11/14 15:24:01 method=POST path=/ status=404 latency=3.75µs client_ip=::1
2024/11/14 15:24:15 method=GET path=/graphql status=404 latency=37.375µs client_ip=::1
2024/11/14 15:24:16 method=GET path=/graphql status=404 latency=5.667µs client_ip=::1
2024/11/14 15:24:16 method=GET path=/graphql status=404 latency=8.458µs client_ip=::1
2024/11/14 15:24:16 method=GET path=/metrics status=200 latency=3.560584ms client_ip=::1
2024/11/14 15:24:31 method=GET path=/metrics status=200 latency=2.407083ms client_ip=::1
2024/11/14 15:24:46 method=GET path=/metrics status=200 latency=2.661292ms client_ip=::1
2024/11/14 15:24:58 method=GET path=/graphql status=404 latency=29.542µs client_ip=::1
2024/11/14 15:25:01 method=GET path=/graphql status=404 latency=3.833µs client_ip=::1
2024/11/14 15:25:01 method=GET path=/metrics status=200 latency=1.580166ms client_ip=::1
2024/11/14 15:25:02 method=GET path=/graphql status=404 latency=3.458µs client_ip=::1
2024/11/14 15:25:02 method=GET path=/graphql status=404 latency=3.916µs client_ip=::1
2024/11/14 15:25:08 GraphQL server created successfully
2024/11/14 15:25:08 GraphQL playground available at http://localhost:9000/
2024/11/14 15:25:12 method=GET path=/graphq status=404 latency=24.375µs client_ip=::1
2024/11/14 15:25:13 method=GET path=/ status=200 latency=665.917µs client_ip=::1
2024/11/14 15:25:14 method=GET path=/ status=200 latency=914.708µs client_ip=::1
2024/11/14 15:25:14 method=GET path=/ status=200 latency=65.583µs client_ip=::1
2024/11/14 15:25:16 method=GET path=/metrics status=200 latency=3.868292ms client_ip=::1
2024/11/14 15:25:31 method=GET path=/metrics status=200 latency=2.541084ms client_ip=::1
2024/11/14 15:25:46 method=GET path=/metrics status=200 latency=1.419959ms client_ip=::1
2024/11/14 15:26:01 method=GET path=/metrics status=200 latency=1.842292ms client_ip=::1
2024/11/14 15:26:09 method=GET path=/quer status=404 latency=5.917µs client_ip=::1
2024/11/14 15:26:10 method=GET path=/query status=404 latency=3.333µs client_ip=::1
2024/11/14 15:26:10 method=GET path=/query status=404 latency=3.208µs client_ip=::1
2024/11/14 15:26:10 method=GET path=/query status=404 latency=2.875µs client_ip=::1
2024/11/14 15:26:13 method=GET path=/ status=200 latency=130.75µs client_ip=::1
2024/11/14 15:26:13 method=GET path=/ status=200 latency=84.459µs client_ip=::1
2024/11/14 15:26:13 method=GET path=/ status=200 latency=80.5µs client_ip=::1
2024/11/14 15:26:13 method=GET path=/ status=200 latency=145.584µs client_ip=::1
2024/11/14 15:26:16 method=GET path=/metrics status=200 latency=1.00225ms client_ip=::1
2024/11/14 15:26:31 method=GET path=/metrics status=200 latency=1.359458ms client_ip=::1
2024/11/14 15:26:46 method=GET path=/metrics status=200 latency=8.784708ms client_ip=::1
2024/11/14 15:27:01 method=GET path=/metrics status=200 latency=1.167084ms client_ip=::1
2024/11/14 15:27:16 method=GET path=/metrics status=200 latency=2.939875ms client_ip=::1
2024/11/14 15:27:31 method=GET path=/metrics status=200 latency=1.5625ms client_ip=::1
2024/11/14 15:27:46 method=GET path=/metrics status=200 latency=2.348083ms client_ip=::1
2024/11/14 15:28:01 method=GET path=/metrics status=200 latency=2.376667ms client_ip=::1
2024/11/14 15:28:16 method=GET path=/metrics status=200 latency=1.491083ms client_ip=::1
2024/11/14 15:28:16 method=POST path=/ status=404 latency=261.084µs client_ip=::1
2024/11/14 15:28:22 method=POST path=/ status=404 latency=10.791µs client_ip=::1
2024/11/14 15:28:27 method=POST path=/ status=404 latency=4.5µs client_ip=::1
2024/11/14 15:28:31 method=GET path=/metrics status=200 latency=2.115584ms client_ip=::1
2024/11/14 15:28:45 method=POST path=/ status=404 latency=14.625µs client_ip=::1
2024/11/14 15:28:46 method=GET path=/metrics status=200 latency=1.186208ms client_ip=::1
2024/11/14 15:28:50 method=POST path=/ status=404 latency=3.541µs client_ip=::1
2024/11/14 15:28:51 method=POST path=/ status=404 latency=3.458µs client_ip=::1
2024/11/14 15:28:54 method=POST path=/ status=404 latency=3.667µs client_ip=::1
2024/11/14 15:28:54 method=POST path=/ status=404 latency=18.083µs client_ip=::1
2024/11/14 15:28:55 method=POST path=/ status=404 latency=3.333µs client_ip=::1
2024/11/14 15:28:55 method=POST path=/ status=404 latency=4.875µs client_ip=::1
2024/11/14 15:28:55 method=POST path=/ status=404 latency=4.625µs client_ip=::1
2024/11/14 15:28:55 method=POST path=/ status=404 latency=3.666µs client_ip=::1
2024/11/14 15:28:56 method=POST path=/ status=404 latency=4.084µs client_ip=::1
2024/11/14 15:28:56 method=POST path=/ status=404 latency=6.666µs client_ip=::1
2024/11/14 15:28:57 method=POST path=/ status=404 latency=3.708µs client_ip=::1
2024/11/14 15:28:58 method=POST path=/ status=404 latency=10.125µs client_ip=::1
2024/11/14 15:28:59 method=POST path=/ status=404 latency=4.041µs client_ip=::1
2024/11/14 15:29:01 method=GET path=/metrics status=200 latency=1.456833ms client_ip=::1
2024/11/14 15:29:06 method=POST path=/query status=200 latency=8.4185ms client_ip=::1
2024/11/14 15:29:06 method=POST path=/query status=422 latency=120.084µs client_ip=::1
2024/11/14 15:29:06 method=POST path=/query status=422 latency=54.083µs client_ip=::1
2024/11/14 15:29:16 method=GET path=/metrics status=200 latency=954.584µs client_ip=::1
2024/11/14 15:29:31 method=GET path=/metrics status=200 latency=1.358542ms client_ip=::1
2024/11/14 15:29:44 method=POST path=/query status=422 latency=903.875µs client_ip=::1
2024/11/14 15:29:46 method=GET path=/metrics status=200 latency=1.029792ms client_ip=::1
2024/11/14 15:29:52 method=POST path=/query status=200 latency=22.097875ms client_ip=::1
2024/11/14 15:30:01 method=GET path=/metrics status=200 latency=5.753417ms client_ip=::1
2024/11/14 15:30:10 method=POST path=/ status=404 latency=29.167µs client_ip=::1
2024/11/14 15:30:10 method=POST path=/ status=404 latency=1.334µs client_ip=::1
2024/11/14 15:30:10 method=POST path=/ status=404 latency=3.459µs client_ip=::1
2024/11/14 15:30:14 method=POST path=/grap status=404 latency=3.583µs client_ip=::1
2024/11/14 15:30:15 method=POST path=/graph status=404 latency=3.209µs client_ip=::1
2024/11/14 15:30:16 method=POST path=/graphql status=404 latency=3.875µs client_ip=::1
2024/11/14 15:30:16 method=POST path=/graphql status=404 latency=708ns client_ip=::1
2024/11/14 15:30:16 method=POST path=/graphql status=404 latency=4.416µs client_ip=::1
2024/11/14 15:30:16 method=GET path=/metrics status=200 latency=1.670125ms client_ip=::1
2024/11/14 15:30:19 method=POST path=/g status=404 latency=11.5µs client_ip=::1
2024/11/14 15:30:20 method=POST path=/query status=200 latency=612.208µs client_ip=::1
2024/11/14 15:30:20 method=POST path=/query status=200 latency=2.582959ms client_ip=::1
2024/11/14 15:30:20 method=POST path=/query status=200 latency=11.728292ms client_ip=::1
2024/11/14 15:30:31 method=GET path=/metrics status=200 latency=1.643458ms client_ip=::1
2024/11/14 15:30:46 method=GET path=/metrics status=200 latency=1.164125ms client_ip=::1
2024/11/14 15:31:01 method=GET path=/metrics status=200 latency=1.413375ms client_ip=::1
2024/11/14 15:31:16 method=GET path=/metrics status=200 latency=1.569459ms client_ip=::1
2024/11/14 15:31:31 method=GET path=/metrics status=200 latency=2.241917ms client_ip=::1
2024/11/14 15:31:46 method=GET path=/metrics status=200 latency=1.838625ms client_ip=::1
2024/11/14 15:32:01 method=GET path=/metrics status=200 latency=1.768958ms client_ip=::1
2024/11/14 15:32:16 method=GET path=/metrics status=200 latency=1.5335ms client_ip=::1
2024/11/14 15:32:31 method=GET path=/metrics status=200 latency=2.147542ms client_ip=::1
2024/11/14 15:32:46 method=GET path=/metrics status=200 latency=1.626667ms client_ip=::1
2024/11/14 15:33:01 method=GET path=/metrics status=200 latency=1.218ms client_ip=::1
2024/11/14 15:33:16 method=GET path=/metrics status=200 latency=1.757125ms client_ip=::1
2024/11/14 15:33:31 method=GET path=/metrics status=200 latency=2.715916ms client_ip=::1
2024/11/14 15:33:46 method=GET path=/metrics status=200 latency=1.011708ms client_ip=::1
2024/11/14 15:34:01 method=GET path=/metrics status=200 latency=861.5µs client_ip=::1
2024/11/14 15:34:16 method=GET path=/metrics status=200 latency=1.723ms client_ip=::1
2024/11/14 15:34:31 method=GET path=/metrics status=200 latency=2.409583ms client_ip=::1
2024/11/14 15:34:46 method=GET path=/metrics status=200 latency=1.122875ms client_ip=::1
2024/11/14 15:35:01 method=GET path=/metrics status=200 latency=2.646375ms client_ip=::1
2024/11/14 15:35:16 method=GET path=/metrics status=200 latency=2.099083ms client_ip=::1
2024/11/14 15:35:31 method=GET path=/metrics status=200 latency=1.296292ms client_ip=::1
2024/11/14 15:35:46 method=GET path=/metrics status=200 latency=1.875ms client_ip=::1
2024/11/14 15:36:01 method=GET path=/metrics status=200 latency=5.7425ms client_ip=::1
2024/11/14 15:36:16 method=GET path=/metrics status=200 latency=815.75µs client_ip=::1
